Country,Year,Attack Type,Target Industry,Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours),Unified_Attack_Category,Unified_Industry,Continent,Nation_Wealth,West_or_East,Pandemic_Era,Is_Leap_Year
France,2023,Phishing,Education,978508,Insider,Weak Passwords,Firewall,42,Social Engineering,Education,Europe,High Income,Western,Post-Pandemic,False
Germany,2020,Man-in-the-Middle,IT,392247,Unknown,Zero-day,Antivirus,7,Hacking/Intrusion,Technology,Europe,High Income,Western,Post-Pandemic,True
Russia,2023,SQL Injection,Retail,446911,Unknown,Weak Passwords,Firewall,25,Hacking/Intrusion,Retail,Europe,Upper-Middle Income,Eastern,Post-Pandemic,False
Australia,2023,Ransomware,IT,777799,Insider,Weak Passwords,Firewall,2,Malware,Technology,Oceania,High Income,Western,Post-Pandemic,False
Australia,2016,Ransomware,Healthcare,799581,Nation-state,Zero-day,AI-based Detection,50,Malware,Healthcare,Oceania,High Income,Western,Pre-Pandemic,True
Germany,2015,Man-in-the-Middle,Retail,819676,Hacker Group,Zero-day,Antivirus,59,Hacking/Intrusion,Retail,Europe,High Income,Western,Pre-Pandemic,False
Japan,2023,SQL Injection,Telecommunications,192430,Nation-state,Unpatched Software,AI-based Detection,49,Hacking/Intrusion,Telecommunications,Asia,High Income,Eastern,Post-Pandemic,False
UK,2016,DDoS,Telecommunications,735,Hacker Group,Unpatched Software,Firewall,69,Hacking/Intrusion,Telecommunications,Europe,High Income,Western,Pre-Pandemic,True
USA,2023,Ransomware,Healthcare,654947,Insider,Social Engineering,Encryption,23,Malware,Healthcare,North America,High Income,Western,Post-Pandemic,False
USA,2018,DDoS,Banking,327826,Hacker Group,Social Engineering,AI-based Detection,35,Hacking/Intrusion,Finance,North America,High Income,Western,Pre-Pandemic,False
France,2016,Man-in-the-Middle,Healthcare,106126,Unknown,Weak Passwords,Antivirus,19,Hacking/Intrusion,Healthcare,Europe,High Income,Western,Pre-Pandemic,True
Russia,2022,Man-in-the-Middle,IT,46493,Insider,Unpatched Software,Encryption,62,Hacking/Intrusion,Technology,Europe,Upper-Middle Income,Eastern,Post-Pandemic,False
Japan,2021,Man-in-the-Middle,Education,733307,Nation-state,Social Engineering,Firewall,29,Hacking/Intrusion,Education,Asia,High Income,Eastern,Post-Pandemic,False
France,2015,Malware,Government,789673,Unknown,Weak Passwords,Antivirus,31,Malware,Government,Europe,High Income,Western,Pre-Pandemic,False
China,2017,Ransomware,Education,159061,Insider,Weak Passwords,Firewall,12,Malware,Education,Asia,Upper-Middle Income,Eastern,Pre-Pandemic,False
China,2020,Phishing,Education,80748,Hacker Group,Zero-day,Encryption,8,Social Engineering,Education,Asia,Upper-Middle Income,Eastern,Post-Pandemic,True
UK,2020,Man-in-the-Middle,IT,697536,Unknown,Social Engineering,AI-based Detection,72,Hacking/Intrusion,Technology,Europe,High Income,Western,Post-Pandemic,True
Brazil,2019,SQL Injection,Healthcare,748146,Insider,Weak Passwords,AI-based Detection,13,Hacking/Intrusion,Healthcare,South America,Upper-Middle Income,Other/Unknown,Pre-Pandemic,False
Russia,2020,Man-in-the-Middle,Telecommunications,803579,Unknown,Weak Passwords,VPN,1,Hacking/Intrusion,Telecommunications,Europe,Upper-Middle Income,Eastern,Post-Pandemic,True
France,2021,Phishing,Retail,537683,Insider,Unpatched Software,VPN,41,Social Engineering,Retail,Europe,High Income,Western,Post-Pandemic,False
France,2020,DDoS,Retail,743271,Nation-state,Social Engineering,Firewall,10,Hacking/Intrusion,Retail,Europe,High Income,Western,Post-Pandemic,True
Australia,2018,Malware,Telecommunications,215231,Unknown,Zero-day,AI-based Detection,49,Malware,Telecommunications,Oceania,High Income,Western,Pre-Pandemic,False
UK,2022,Phishing,Banking,135941,Nation-state,Social Engineering,AI-based Detection,7,Social Engineering,Finance,Europe,High Income,Western,Post-Pandemic,False
USA,2017,Phishing,IT,362478,Hacker Group,Zero-day,Encryption,67,Social Engineering,Technology,North America,High Income,Western,Pre-Pandemic,False
Russia,2022,DDoS,Education,537149,Nation-state,Unpatched Software,VPN,54,Hacking/Intrusion,Education,Europe,Upper-Middle Income,Eastern,Post-Pandemic,False
China,2016,SQL Injection,Retail,162061,Insider,Zero-day,Firewall,32,Hacking/Intrusion,Retail,Asia,Upper-Middle Income,Eastern,Pre-Pandemic,True
China,2016,Ransomware,Banking,455702,Hacker Group,Weak Passwords,Antivirus,5,Malware,Finance,Asia,Upper-Middle Income,Eastern,Pre-Pandemic,True
UK,2021,Ransomware,Telecommunications,448367,Nation-state,Social Engineering,AI-based Detection,7,Malware,Telecommunications,Europe,High Income,Western,Post-Pandemic,False
France,2019,Malware,Retail,603904,Nation-state,Unpatched Software,Firewall,38,Malware,Retail,Europe,High Income,Western,Pre-Pandemic,False
France,2016,Malware,IT,331741,Hacker Group,Social Engineering,Antivirus,29,Malware,Technology,Europe,High Income,Western,Pre-Pandemic,True
Japan,2023,Ransomware,Education,983506,Hacker Group,Social Engineering,AI-based Detection,35,Malware,Education,Asia,High Income,Eastern,Post-Pandemic,False
China,2015,Phishing,Retail,914743,Insider,Social Engineering,AI-based Detection,69,Social Engineering,Retail,Asia,Upper-Middle Income,Eastern,Pre-Pandemic,False
Germany,2022,Malware,Banking,258587,Insider,Social Engineering,VPN,7,Malware,Finance,Europe,High Income,Western,Post-Pandemic,False
Brazil,2020,Man-in-the-Middle,Retail,527964,Insider,Zero-day,Firewall,28,Hacking/Intrusion,Retail,South America,Upper-Middle Income,Other/Unknown,Post-Pandemic,True
Brazil,2015,Phishing,Banking,593384,Unknown,Zero-day,Firewall,65,Social Engineering,Finance,South America,Upper-Middle Income,Other/Unknown,Pre-Pandemic,False
UK,2023,Malware,IT,386972,Insider,Unpatched Software,AI-based Detection,56,Malware,Technology,Europe,High Income,Western,Post-Pandemic,False
China,2017,DDoS,Healthcare,644339,Insider,Unpatched Software,Antivirus,71,Hacking/Intrusion,Healthcare,Asia,Upper-Middle Income,Eastern,Pre-Pandemic,False
Brazil,2024,DDoS,Healthcare,782425,Insider,Weak Passwords,Encryption,13,Hacking/Intrusion,Healthcare,South America,Upper-Middle Income,Other/Unknown,Post-Pandemic,True
Russia,2024,SQL Injection,Banking,84185,Nation-state,Weak Passwords,VPN,2,Hacking/Intrusion,Finance,Europe,Upper-Middle Income,Eastern,Post-Pandemic,True
UK,2022,Malware,Healthcare,337120,Insider,Weak Passwords,Firewall,59,Malware,Healthcare,Europe,High Income,Western,Post-Pandemic,False
UK,2020,Phishing,Banking,241282,Hacker Group,Social Engineering,Encryption,55,Social Engineering,Finance,Europe,High Income,Western,Post-Pandemic,True
China,2023,DDoS,Healthcare,734819,Unknown,Unpatched Software,AI-based Detection,50,Hacking/Intrusion,Healthcare,Asia,Upper-Middle Income,Eastern,Post-Pandemic,False
Australia,2024,DDoS,Healthcare,8517,Hacker Group,Weak Passwords,Encryption,4,Hacking/Intrusion,Healthcare,Oceania,High Income,Western,Post-Pandemic,True
UK,2018,Man-in-the-Middle,Government,865257,Nation-state,Social Engineering,VPN,19,Hacking/Intrusion,Government,Europe,High Income,Western,Pre-Pandemic,False
Germany,2023,SQL Injection,Education,662428,Insider,Weak Passwords,AI-based Detection,4,Hacking/Intrusion,Education,Europe,High Income,Western,Post-Pandemic,False
China,2020,Malware,Healthcare,646567,Insider,Unpatched Software,VPN,15,Malware,Healthcare,Asia,Upper-Middle Income,Eastern,Post-Pandemic,True
USA,2019,DDoS,Telecommunications,266748,Unknown,Unpatched Software,Antivirus,30,Hacking/Intrusion,Telecommunications,North America,High Income,Western,Pre-Pandemic,False
USA,2022,Ransomware,Retail,771367,Hacker Group,Social Engineering,Firewall,5,Malware,Retail,North America,High Income,Western,Post-Pandemic,False
USA,2020,DDoS,Banking,948174,Unknown,Social Engineering,AI-based Detection,4,Hacking/Intrusion,Finance,North America,High Income,Western,Post-Pandemic,True
Brazil,2017,DDoS,Healthcare,460264,Unknown,Social Engineering,Firewall,9,Hacking/Intrusion,Healthcare,South America,Upper-Middle Income,Other/Unknown,Pre-Pandemic,False
USA,2017,DDoS,Government,794147,Unknown,Unpatched Software,Antivirus,4,Hacking/Intrusion,Government,North America,High Income,Western,Pre-Pandemic,False
France,2015,SQL Injection,IT,72222,Unknown,Weak Passwords,Firewall,64,Hacking/Intrusion,Technology,Europe,High Income,Western,Pre-Pandemic,False
France,2020,DDoS,Telecommunications,995231,Nation-state,Weak Passwords,Firewall,53,Hacking/Intrusion,Telecommunications,Europe,High Income,Western,Post-Pandemic,True
Japan,2021,Malware,Retail,841766,Nation-state,Social Engineering,AI-based Detection,16,Malware,Retail,Asia,High Income,Eastern,Post-Pandemic,False
Russia,2015,Man-in-the-Middle,IT,566542,Unknown,Weak Passwords,Firewall,58,Hacking/Intrusion,Technology,Europe,Upper-Middle Income,Eastern,Pre-Pandemic,False
UK,2022,Malware,Healthcare,781284,Hacker Group,Weak Passwords,Firewall,11,Malware,Healthcare,Europe,High Income,Western,Post-Pandemic,False
UK,2021,Phishing,IT,361270,Nation-state,Weak Passwords,VPN,31,Social Engineering,Technology,Europe,High Income,Western,Post-Pandemic,False
India,2022,Malware,Telecommunications,404834,Hacker Group,Zero-day,VPN,62,Malware,Telecommunications,Asia,Lower-Middle Income,Eastern,Post-Pandemic,False
China,2023,DDoS,Government,374484,Unknown,Unpatched Software,Antivirus,46,Hacking/Intrusion,Government,Asia,Upper-Middle Income,Eastern,Post-Pandemic,False
Australia,2020,SQL Injection,IT,681476,Unknown,Weak Passwords,VPN,6,Hacking/Intrusion,Technology,Oceania,High Income,Western,Post-Pandemic,True
India,2019,SQL Injection,Retail,514826,Hacker Group,Unpatched Software,Firewall,72,Hacking/Intrusion,Retail,Asia,Lower-Middle Income,Eastern,Pre-Pandemic,False
Japan,2022,Malware,Education,742866,Nation-state,Social Engineering,Encryption,61,Malware,Education,Asia,High Income,Eastern,Post-Pandemic,False
UK,2016,Ransomware,Healthcare,639896,Hacker Group,Social Engineering,VPN,63,Malware,Healthcare,Europe,High Income,Western,Pre-Pandemic,True
Australia,2022,SQL Injection,IT,42346,Hacker Group,Unpatched Software,VPN,33,Hacking/Intrusion,Technology,Oceania,High Income,Western,Post-Pandemic,False
Japan,2019,Malware,Telecommunications,235399,Unknown,Social Engineering,Antivirus,21,Malware,Telecommunications,Asia,High Income,Eastern,Pre-Pandemic,False
USA,2015,Man-in-the-Middle,Retail,448426,Nation-state,Weak Passwords,VPN,36,Hacking/Intrusion,Retail,North America,High Income,Western,Pre-Pandemic,False
France,2020,Ransomware,Retail,467137,Nation-state,Social Engineering,Encryption,14,Malware,Retail,Europe,High Income,Western,Post-Pandemic,True
Japan,2017,SQL Injection,Education,364107,Hacker Group,Social Engineering,AI-based Detection,28,Hacking/Intrusion,Education,Asia,High Income,Eastern,Pre-Pandemic,False
India,2022,Man-in-the-Middle,Government,357898,Hacker Group,Social Engineering,Firewall,27,Hacking/Intrusion,Government,Asia,Lower-Middle Income,Eastern,Post-Pandemic,False
China,2016,DDoS,Banking,605118,Insider,Social Engineering,Firewall,30,Hacking/Intrusion,Finance,Asia,Upper-Middle Income,Eastern,Pre-Pandemic,True
Russia,2022,Man-in-the-Middle,Education,106169,Nation-state,Unpatched Software,Encryption,28,Hacking/Intrusion,Education,Europe,Upper-Middle Income,Eastern,Post-Pandemic,False
France,2016,Ransomware,Healthcare,157547,Insider,Unpatched Software,AI-based Detection,29,Malware,Healthcare,Europe,High Income,Western,Pre-Pandemic,True
Brazil,2022,SQL Injection,Healthcare,242677,Insider,Social Engineering,Encryption,21,Hacking/Intrusion,Healthcare,South America,Upper-Middle Income,Other/Unknown,Post-Pandemic,False
China,2016,SQL Injection,Banking,385872,Insider,Zero-day,Firewall,50,Hacking/Intrusion,Finance,Asia,Upper-Middle Income,Eastern,Pre-Pandemic,True
Germany,2018,DDoS,Retail,148209,Insider,Weak Passwords,Antivirus,54,Hacking/Intrusion,Retail,Europe,High Income,Western,Pre-Pandemic,False
Japan,2022,DDoS,Healthcare,387457,Nation-state,Weak Passwords,VPN,61,Hacking/Intrusion,Healthcare,Asia,High Income,Eastern,Post-Pandemic,False
Russia,2023,Malware,IT,404004,Nation-state,Social Engineering,Encryption,58,Malware,Technology,Europe,Upper-Middle Income,Eastern,Post-Pandemic,False
UK,2018,Ransomware,Retail,981029,Nation-state,Weak Passwords,Antivirus,42,Malware,Retail,Europe,High Income,Western,Pre-Pandemic,False
France,2017,Malware,Telecommunications,389525,Unknown,Zero-day,Antivirus,32,Malware,Telecommunications,Europe,High Income,Western,Pre-Pandemic,False
India,2019,SQL Injection,IT,764974,Nation-state,Weak Passwords,VPN,18,Hacking/Intrusion,Technology,Asia,Lower-Middle Income,Eastern,Pre-Pandemic,False
India,2017,Man-in-the-Middle,Healthcare,621971,Nation-state,Weak Passwords,AI-based Detection,49,Hacking/Intrusion,Healthcare,Asia,Lower-Middle Income,Eastern,Pre-Pandemic,False
Brazil,2024,SQL Injection,IT,680584,Insider,Zero-day,AI-based Detection,5,Hacking/Intrusion,Technology,South America,Upper-Middle Income,Other/Unknown,Post-Pandemic,True
China,2018,SQL Injection,Education,907858,Nation-state,Social Engineering,Encryption,47,Hacking/Intrusion,Education,Asia,Upper-Middle Income,Eastern,Pre-Pandemic,False
Russia,2021,SQL Injection,Banking,983047,Hacker Group,Unpatched Software,Antivirus,19,Hacking/Intrusion,Finance,Europe,Upper-Middle Income,Eastern,Post-Pandemic,False
France,2015,Malware,Government,610049,Hacker Group,Social Engineering,AI-based Detection,37,Malware,Government,Europe,High Income,Western,Pre-Pandemic,False
India,2021,SQL Injection,IT,100105,Unknown,Zero-day,Firewall,56,Hacking/Intrusion,Technology,Asia,Lower-Middle Income,Eastern,Post-Pandemic,False
USA,2023,SQL Injection,Government,59398,Hacker Group,Zero-day,Antivirus,8,Hacking/Intrusion,Government,North America,High Income,Western,Post-Pandemic,False
USA,2023,Malware,Banking,91974,Hacker Group,Zero-day,AI-based Detection,41,Malware,Finance,North America,High Income,Western,Post-Pandemic,False
Brazil,2019,Ransomware,Healthcare,785564,Insider,Unpatched Software,Antivirus,70,Malware,Healthcare,South America,Upper-Middle Income,Other/Unknown,Pre-Pandemic,False
China,2023,Phishing,Banking,597516,Nation-state,Unpatched Software,Antivirus,15,Social Engineering,Finance,Asia,Upper-Middle Income,Eastern,Post-Pandemic,False
UK,2019,Ransomware,IT,799372,Hacker Group,Zero-day,AI-based Detection,14,Malware,Technology,Europe,High Income,Western,Pre-Pandemic,False
France,2018,SQL Injection,Banking,77096,Unknown,Weak Passwords,VPN,29,Hacking/Intrusion,Finance,Europe,High Income,Western,Pre-Pandemic,False
Brazil,2023,Man-in-the-Middle,Retail,610786,Nation-state,Social Engineering,AI-based Detection,31,Hacking/Intrusion,Retail,South America,Upper-Middle Income,Other/Unknown,Post-Pandemic,False
Japan,2021,SQL Injection,Telecommunications,667271,Insider,Weak Passwords,Firewall,22,Hacking/Intrusion,Telecommunications,Asia,High Income,Eastern,Post-Pandemic,False
China,2023,Phishing,Banking,133315,Nation-state,Weak Passwords,AI-based Detection,25,Social Engineering,Finance,Asia,Upper-Middle Income,Eastern,Post-Pandemic,False
Brazil,2019,SQL Injection,Government,381105,Unknown,Weak Passwords,Encryption,3,Hacking/Intrusion,Government,South America,Upper-Middle Income,Other/Unknown,Pre-Pandemic,False
UK,2020,Ransomware,Banking,795120,Unknown,Social Engineering,Firewall,42,Malware,Finance,Europe,High Income,Western,Post-Pandemic,True
Russia,2017,SQL Injection,Healthcare,198285,Nation-state,Unpatched Software,Encryption,56,Hacking/Intrusion,Healthcare,Europe,Upper-Middle Income,Eastern,Pre-Pandemic,False
India,2023,DDoS,Government,580270,Unknown,Unpatched Software,Firewall,35,Hacking/Intrusion,Government,Asia,Lower-Middle Income,Eastern,Post-Pandemic,False
UK,2018,Ransomware,Retail,277410,Hacker Group,Social Engineering,Firewall,42,Malware,Retail,Europe,High Income,Western,Pre-Pandemic,False
Australia,2022,Man-in-the-Middle,Government,793946,Nation-state,Weak Passwords,Firewall,12,Hacking/Intrusion,Government,Oceania,High Income,Western,Post-Pandemic,False
Australia,2019,Ransomware,Banking,126770,Insider,Weak Passwords,Encryption,67,Malware,Finance,Oceania,High Income,Western,Pre-Pandemic,False
Australia,2016,Phishing,IT,66776,Unknown,Zero-day,Encryption,29,Social Engineering,Technology,Oceania,High Income,Western,Pre-Pandemic,True
China,2018,DDoS,Telecommunications,434797,Insider,Social Engineering,Antivirus,21,Hacking/Intrusion,Telecommunications,Asia,Upper-Middle Income,Eastern,Pre-Pandemic,False
France,2024,SQL Injection,Retail,901137,Nation-state,Zero-day,Antivirus,10,Hacking/Intrusion,Retail,Europe,High Income,Western,Post-Pandemic,True
Australia,2020,Man-in-the-Middle,Banking,427407,Unknown,Unpatched Software,Encryption,47,Hacking/Intrusion,Finance,Oceania,High Income,Western,Post-Pandemic,True
USA,2021,Phishing,Banking,959107,Unknown,Zero-day,Antivirus,35,Social Engineering,Finance,North America,High Income,Western,Post-Pandemic,False
Russia,2017,Man-in-the-Middle,IT,12439,Nation-state,Weak Passwords,Firewall,20,Hacking/Intrusion,Technology,Europe,Upper-Middle Income,Eastern,Pre-Pandemic,False
Germany,2021,Man-in-the-Middle,Banking,292854,Nation-state,Unpatched Software,AI-based Detection,14,Hacking/Intrusion,Finance,Europe,High Income,Western,Post-Pandemic,False
USA,2023,Malware,Banking,189116,Insider,Social Engineering,AI-based Detection,53,Malware,Finance,North America,High Income,Western,Post-Pandemic,False
USA,2017,Phishing,Telecommunications,889404,Unknown,Weak Passwords,Firewall,60,Social Engineering,Telecommunications,North America,High Income,Western,Pre-Pandemic,False
USA,2017,Man-in-the-Middle,Retail,566242,Nation-state,Social Engineering,VPN,63,Hacking/Intrusion,Retail,North America,High Income,Western,Pre-Pandemic,False
Brazil,2015,SQL Injection,IT,694491,Unknown,Unpatched Software,Firewall,65,Hacking/Intrusion,Technology,South America,Upper-Middle Income,Other/Unknown,Pre-Pandemic,False
Australia,2015,DDoS,Education,297721,Nation-state,Weak Passwords,Antivirus,29,Hacking/Intrusion,Education,Oceania,High Income,Western,Pre-Pandemic,False
China,2024,SQL Injection,Education,394335,Unknown,Zero-day,Encryption,43,Hacking/Intrusion,Education,Asia,Upper-Middle Income,Eastern,Post-Pandemic,True
Japan,2016,Man-in-the-Middle,IT,590262,Insider,Unpatched Software,Antivirus,15,Hacking/Intrusion,Technology,Asia,High Income,Eastern,Pre-Pandemic,True
Germany,2015,DDoS,IT,846200,Unknown,Social Engineering,AI-based Detection,26,Hacking/Intrusion,Technology,Europe,High Income,Western,Pre-Pandemic,False
Japan,2017,Phishing,Telecommunications,44385,Hacker Group,Weak Passwords,AI-based Detection,18,Social Engineering,Telecommunications,Asia,High Income,Eastern,Pre-Pandemic,False
UK,2021,Phishing,Banking,408446,Insider,Social Engineering,VPN,43,Social Engineering,Finance,Europe,High Income,Western,Post-Pandemic,False
UK,2023,DDoS,Education,806965,Insider,Social Engineering,AI-based Detection,56,Hacking/Intrusion,Education,Europe,High Income,Western,Post-Pandemic,False
Russia,2018,Ransomware,Education,587346,Hacker Group,Social Engineering,Antivirus,39,Malware,Education,Europe,Upper-Middle Income,Eastern,Pre-Pandemic,False
Japan,2015,Phishing,Education,552342,Unknown,Zero-day,VPN,62,Social Engineering,Education,Asia,High Income,Eastern,Pre-Pandemic,False
France,2019,DDoS,Education,47104,Insider,Social Engineering,VPN,5,Hacking/Intrusion,Education,Europe,High Income,Western,Pre-Pandemic,False
USA,2016,DDoS,Retail,586557,Hacker Group,Social Engineering,AI-based Detection,37,Hacking/Intrusion,Retail,North America,High Income,Western,Pre-Pandemic,True
Russia,2017,Malware,Government,500857,Hacker Group,Zero-day,VPN,35,Malware,Government,Europe,Upper-Middle Income,Eastern,Pre-Pandemic,False
USA,2022,Man-in-the-Middle,Banking,977913,Hacker Group,Weak Passwords,Antivirus,70,Hacking/Intrusion,Finance,North America,High Income,Western,Post-Pandemic,False
France,2021,Malware,Telecommunications,894858,Hacker Group,Social Engineering,Firewall,19,Malware,Telecommunications,Europe,High Income,Western,Post-Pandemic,False
UK,2018,Man-in-the-Middle,IT,574089,Unknown,Unpatched Software,Firewall,32,Hacking/Intrusion,Technology,Europe,High Income,Western,Pre-Pandemic,False
USA,2015,DDoS,Healthcare,232622,Nation-state,Weak Passwords,Antivirus,33,Hacking/Intrusion,Healthcare,North America,High Income,Western,Pre-Pandemic,False
India,2015,Malware,Retail,917351,Unknown,Zero-day,Encryption,43,Malware,Retail,Asia,Lower-Middle Income,Eastern,Pre-Pandemic,False
Australia,2024,SQL Injection,IT,694333,Insider,Unpatched Software,VPN,48,Hacking/Intrusion,Technology,Oceania,High Income,Western,Post-Pandemic,True
India,2017,Ransomware,Government,968822,Nation-state,Weak Passwords,Antivirus,25,Malware,Government,Asia,Lower-Middle Income,Eastern,Pre-Pandemic,False
Brazil,2015,DDoS,Banking,976838,Unknown,Weak Passwords,Firewall,65,Hacking/Intrusion,Finance,South America,Upper-Middle Income,Other/Unknown,Pre-Pandemic,False
Australia,2019,DDoS,Education,22739,Insider,Unpatched Software,Firewall,44,Hacking/Intrusion,Education,Oceania,High Income,Western,Pre-Pandemic,False
UK,2015,Man-in-the-Middle,Retail,657442,Nation-state,Social Engineering,Firewall,29,Hacking/Intrusion,Retail,Europe,High Income,Western,Pre-Pandemic,False
Brazil,2018,Phishing,Education,257681,Nation-state,Zero-day,Antivirus,40,Social Engineering,Education,South America,Upper-Middle Income,Other/Unknown,Pre-Pandemic,False
Japan,2021,Man-in-the-Middle,Retail,536471,Hacker Group,Weak Passwords,Encryption,72,Hacking/Intrusion,Retail,Asia,High Income,Eastern,Post-Pandemic,False
France,2015,Ransomware,IT,824619,Unknown,Social Engineering,Firewall,21,Malware,Technology,Europe,High Income,Western,Pre-Pandemic,False
Russia,2016,SQL Injection,Government,538804,Hacker Group,Weak Passwords,VPN,43,Hacking/Intrusion,Government,Europe,Upper-Middle Income,Eastern,Pre-Pandemic,True
Japan,2023,Phishing,Healthcare,463704,Hacker Group,Weak Passwords,Firewall,14,Social Engineering,Healthcare,Asia,High Income,Eastern,Post-Pandemic,False
China,2021,Man-in-the-Middle,Telecommunications,596341,Insider,Weak Passwords,AI-based Detection,9,Hacking/Intrusion,Telecommunications,Asia,Upper-Middle Income,Eastern,Post-Pandemic,False
Brazil,2020,Malware,Retail,529588,Nation-state,Weak Passwords,AI-based Detection,65,Malware,Retail,South America,Upper-Middle Income,Other/Unknown,Post-Pandemic,True
Germany,2018,Man-in-the-Middle,Retail,22241,Hacker Group,Zero-day,Firewall,5,Hacking/Intrusion,Retail,Europe,High Income,Western,Pre-Pandemic,False
Brazil,2020,Phishing,Banking,434936,Hacker Group,Zero-day,Encryption,24,Social Engineering,Finance,South America,Upper-Middle Income,Other/Unknown,Post-Pandemic,True
Japan,2019,Malware,IT,52191,Nation-state,Weak Passwords,Antivirus,72,Malware,Technology,Asia,High Income,Eastern,Pre-Pandemic,False
Australia,2015,Malware,Banking,242247,Insider,Social Engineering,Antivirus,29,Malware,Finance,Oceania,High Income,Western,Pre-Pandemic,False
Brazil,2020,Phishing,Banking,372427,Insider,Weak Passwords,VPN,72,Social Engineering,Finance,South America,Upper-Middle Income,Other/Unknown,Post-Pandemic,True
Brazil,2021,Ransomware,Healthcare,796351,Nation-state,Weak Passwords,AI-based Detection,21,Malware,Healthcare,South America,Upper-Middle Income,Other/Unknown,Post-Pandemic,False
Japan,2020,SQL Injection,Telecommunications,505831,Hacker Group,Social Engineering,Encryption,40,Hacking/Intrusion,Telecommunications,Asia,High Income,Eastern,Post-Pandemic,True
Germany,2020,Malware,Government,743344,Insider,Zero-day,VPN,4,Malware,Government,Europe,High Income,Western,Post-Pandemic,True
China,2017,Phishing,Healthcare,651809,Unknown,Unpatched Software,Firewall,17,Social Engineering,Healthcare,Asia,Upper-Middle Income,Eastern,Pre-Pandemic,False
Brazil,2023,SQL Injection,Telecommunications,839281,Insider,Weak Passwords,Encryption,25,Hacking/Intrusion,Telecommunications,South America,Upper-Middle Income,Other/Unknown,Post-Pandemic,False
Brazil,2018,SQL Injection,Retail,99876,Insider,Unpatched Software,Firewall,56,Hacking/Intrusion,Retail,South America,Upper-Middle Income,Other/Unknown,Pre-Pandemic,False
UK,2016,SQL Injection,Telecommunications,836521,Insider,Weak Passwords,Firewall,19,Hacking/Intrusion,Telecommunications,Europe,High Income,Western,Pre-Pandemic,True
Japan,2022,SQL Injection,Retail,392831,Nation-state,Weak Passwords,AI-based Detection,71,Hacking/Intrusion,Retail,Asia,High Income,Eastern,Post-Pandemic,False
China,2015,Ransomware,Government,99312,Unknown,Zero-day,AI-based Detection,60,Malware,Government,Asia,Upper-Middle Income,Eastern,Pre-Pandemic,False
Japan,2017,Malware,Education,945147,Insider,Zero-day,AI-based Detection,20,Malware,Education,Asia,High Income,Eastern,Pre-Pandemic,False
USA,2018,DDoS,IT,943039,Insider,Zero-day,Firewall,28,Hacking/Intrusion,Technology,North America,High Income,Western,Pre-Pandemic,False
Brazil,2016,Malware,Retail,670642,Unknown,Unpatched Software,AI-based Detection,10,Malware,Retail,South America,Upper-Middle Income,Other/Unknown,Pre-Pandemic,True
USA,2016,Malware,Banking,194553,Hacker Group,Social Engineering,AI-based Detection,48,Malware,Finance,North America,High Income,Western,Pre-Pandemic,True
China,2022,Ransomware,Education,257224,Hacker Group,Social Engineering,Firewall,46,Malware,Education,Asia,Upper-Middle Income,Eastern,Post-Pandemic,False
India,2019,DDoS,Banking,891815,Unknown,Weak Passwords,Antivirus,19,Hacking/Intrusion,Finance,Asia,Lower-Middle Income,Eastern,Pre-Pandemic,False
China,2020,Ransomware,Banking,168617,Hacker Group,Unpatched Software,VPN,16,Malware,Finance,Asia,Upper-Middle Income,Eastern,Post-Pandemic,True
UK,2016,Ransomware,Government,701152,Nation-state,Social Engineering,Firewall,53,Malware,Government,Europe,High Income,Western,Pre-Pandemic,True
USA,2023,SQL Injection,Banking,749609,Nation-state,Zero-day,AI-based Detection,28,Hacking/Intrusion,Finance,North America,High Income,Western,Post-Pandemic,False
UK,2024,Man-in-the-Middle,Government,658712,Hacker Group,Unpatched Software,VPN,25,Hacking/Intrusion,Government,Europe,High Income,Western,Post-Pandemic,True
China,2022,DDoS,Retail,642501,Hacker Group,Zero-day,AI-based Detection,19,Hacking/Intrusion,Retail,Asia,Upper-Middle Income,Eastern,Post-Pandemic,False
Australia,2017,Malware,Banking,817255,Hacker Group,Weak Passwords,Antivirus,62,Malware,Finance,Oceania,High Income,Western,Pre-Pandemic,False
China,2021,Ransomware,Government,92237,Nation-state,Weak Passwords,AI-based Detection,47,Malware,Government,Asia,Upper-Middle Income,Eastern,Post-Pandemic,False
Australia,2023,Man-in-the-Middle,Telecommunications,156195,Nation-state,Unpatched Software,Firewall,58,Hacking/Intrusion,Telecommunications,Oceania,High Income,Western,Post-Pandemic,False
India,2016,Man-in-the-Middle,IT,618125,Nation-state,Zero-day,VPN,16,Hacking/Intrusion,Technology,Asia,Lower-Middle Income,Eastern,Pre-Pandemic,True
Australia,2021,Man-in-the-Middle,Banking,828293,Insider,Weak Passwords,Antivirus,64,Hacking/Intrusion,Finance,Oceania,High Income,Western,Post-Pandemic,False
Brazil,2017,Malware,Telecommunications,436100,Unknown,Zero-day,Encryption,12,Malware,Telecommunications,South America,Upper-Middle Income,Other/Unknown,Pre-Pandemic,False
USA,2020,DDoS,Retail,787194,Unknown,Zero-day,VPN,51,Hacking/Intrusion,Retail,North America,High Income,Western,Post-Pandemic,True
France,2021,Phishing,Retail,380086,Nation-state,Social Engineering,Encryption,65,Social Engineering,Retail,Europe,High Income,Western,Post-Pandemic,False
